title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
EOG Resources  ( EOG )  Advances While Market Declines: Some Information for Investors,https://www.zacks.com/stock/news/2216681/eog-resources-eog-advances-while-market-declines-some-information-for-investors,2024-01-26 23:00:20,"In the closing of the recent trading day, EOG Resources (EOG) stood at $115.54, denoting a +0.6% change from the preceding trading day.",EOG,0.598621,0.207875,Somewhat-Bullish
Baker Hughes  ( BKR )  Expects Drop in North America Drilling Spend,https://www.zacks.com/stock/news/2216567/baker-hughes-bkr-expects-drop-in-north-america-drilling-spend,2024-01-26 15:30:00,Baker Hughes' (BKR) projections for 2024 paint a picture of an oil industry grappling with uncertainty and changing market forces.,EOG,0.170878,-0.064574,Neutral
Where To Invest In 2024 - Value Stocks & Presidential Election Years,https://www.forbes.com/sites/johnbuckingham/2024/01/24/where-to-invest-in-2024value-stocks--presidential-election-years/,2024-01-24 16:26:42,"With the Iowa Caucuses and New Hampshire Primary in the books, the race for the White House is now officially underway. True, there is plenty of ball to play to determine who will be sitting in the Oval Office a year from now, but I lose no sleep over the Presidential race.",EOG,0.44809,0.347214,Somewhat-Bullish
Should You Invest in the Energy Select Sector SPDR ETF  ( XLE ) ?,https://www.zacks.com/stock/news/2214734/should-you-invest-in-the-energy-select-sector-spdr-etf-xle,2024-01-24 11:20:06,Sector ETF report for ...,EOG,0.132368,0.070899,Neutral
EOG Resources  ( EOG )  Stock Dips While Market Gains: Key Facts,https://www.zacks.com/stock/news/2214630/eog-resources-eog-stock-dips-while-market-gains-key-facts,2024-01-23 23:15:20,"In the most recent trading session, EOG Resources (EOG) closed at $110.37, indicating a -0.24% shift from the previous trading day.",EOG,0.553265,0.374207,Bullish
Permian Oil Drilling Rig Count Falls for Two Straight Weeks,https://www.zacks.com/stock/news/2213306/permian-oil-drilling-rig-count-falls-for-two-straight-weeks,2024-01-22 13:01:00,"Baker Hughes (BKR), in its weekly release, reports that its count of oil and gas rigs has increased after decreasing for two straight weeks.",EOG,0.25726,0.29558,Somewhat-Bullish
International Paper and Keysight Technologies have been highlighted as Zacks Bull and Bear of the Day,https://www.zacks.com/stock/news/2211827/international-paper-and-keysight-technologies-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,2024-01-18 08:58:00,"Chicago, IL - January 18, 2024 - Zacks Equity Research shares International Paper ( IP Quick QuoteIP - ) as the Bull of the Day and Keysight Technologies ( KEYS Quick QuoteKEYS - ) as the Bear of the Day.",EOG,0.184296,0.149422,Neutral
EOG Resources  ( EOG )  Registers a Bigger Fall Than the Market: Important Facts to Note,https://www.zacks.com/stock/news/2211780/eog-resources-eog-registers-a-bigger-fall-than-the-market-important-facts-to-note,2024-01-17 23:15:20,"EOG Resources (EOG) closed at $110.63 in the latest trading session, marking a -1.35% move from the prior day.",EOG,0.643211,0.159236,Somewhat-Bullish
How Is The Market Feeling About EOG Resources? - EOG Resources  ( NYSE:EOG ) ,https://www.benzinga.com/short-sellers/24/01/36660882/how-is-the-market-feeling-about-eog-resources,2024-01-17 14:45:13,"EOG Resources's EOG short percent of float has fallen 12.58% since its last report. The company recently reported that it has 7.67 million shares sold short, which is 1.32% of all regular shares that are available for trading.",EOG,0.426824,0.247129,Somewhat-Bullish
Oil Sector's '24 Quarterly Earnings to Rise: 3 Stocks in Focus,https://www.zacks.com/stock/news/2211377/oil-sectors-24-quarterly-earnings-to-rise-3-stocks-in-focus,2024-01-17 14:16:00,"Earnings of the oil energy sector in each of the quarters of 2024 may continue to improve, paving the way for Exxon Mobil Corporation (XOM), EOG Resources (EOG) and Enbridge Inc. (ENB) to gain.",EOG,0.439786,0.334712,Somewhat-Bullish
Permian Oil Rig Count Falls After Rising for 2 Straight Weeks,https://www.zacks.com/stock/news/2210003/permian-oil-rig-count-falls-after-rising-for-2-straight-weeks,2024-01-15 13:04:00,"In its weekly release, Baker Hughes (BKR) reports that its count of oil and gas rigs has decreased for two straight weeks.",EOG,0.259451,0.297487,Somewhat-Bullish
"From Oil Production to Energy Policies, 2024 Energy Sector Predictions",https://www.forbes.com/sites/rrapier/2024/01/14/from-oil-production-to-energy-policies-2024-energy-sector-predictions/,2024-01-14 18:57:45,"It is time to make my energy sector predictions for this year. The year promises to be challenging because there are more variables in play than normal. Russia's ongoing invasion of Ukraine, the U.S. presidential elections, and the ongoing conflict in the Middle East are all factors that could ...",EOG,0.029728,0.187818,Somewhat-Bullish
EOG Resources  ( EOG )  Stock Moves -0.01%: What You Should Know,https://www.zacks.com/stock/news/2209213/eog-resources-eog-stock-moves--001-what-you-should-know,2024-01-11 23:15:17,"In the most recent trading session, EOG Resources (EOG) closed at $114.98, indicating a -0.01% shift from the previous trading day.",EOG,0.627711,0.282608,Somewhat-Bullish
Here's How Much $1000 Invested In EOG Resources 20 Years Ago Would Be Worth Today - EOG Resources  ( NYSE:EOG ) ,https://www.benzinga.com/news/24/01/36600236/heres-how-much-1000-invested-in-eog-resources-20-years-ago-would-be-worth-today,2024-01-11 19:30:44,"EOG Resources EOG has outperformed the market over the past 20 years by 4.72% on an annualized basis producing an average annual return of 12.12%. Currently, EOG Resources has a market capitalization of $67.29 billion.",EOG,0.980595,0.386944,Bullish
Here's Why Hold Strategy is Apt for EOG Resources  ( EOG )  Stock,https://www.zacks.com/stock/news/2208791/heres-why-hold-strategy-is-apt-for-eog-resources-eog-stock,2024-01-11 13:58:00,"Favorable oil prices are aiding EOG Resources (EOG). However, being engaged in upstream business, the company is highly exposed to extreme volatility in oil and natural gas prices.",EOG,0.406526,0.406769,Bullish
"Chewy To Rally Over 50%? Here Are 10 Top Analyst Forecasts For Thursday - Albemarle  ( NYSE:ALB ) , Chewy  ( NYSE:CHWY ) ",https://www.benzinga.com/news/24/01/36591788/chewy-to-rally-over-50-here-are-10-top-analyst-forecasts-for-thursday,2024-01-11 12:45:28,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page. Keybanc cut EOG Resources, Inc. EOG price target from $157 to $147.",EOG,0.239698,-0.242504,Somewhat-Bearish
"Don't Miss These 3 Energy Stocks With Over 3% Dividend Yields From Wall Street's Most Accurate Analysts - Phillips 66  ( NYSE:PSX ) , EOG Resources  ( NYSE:EOG ) ",https://www.benzinga.com/news/24/01/36573984/dont-miss-these-3-energy-stocks-with-over-3-dividend-yields-from-wall-streets-most-accurate-analysts,2024-01-10 12:35:06,"During times of turbulence and uncertainty in the markets, many investors turn to dividend-yielding stocks. These are often companies that have high free cash flows and reward shareholders with a high dividend payout.",EOG,0.108466,0.0,Neutral
Where We'll Hunt For Surging Dividends In 2024,https://www.forbes.com/sites/brettowens/2024/01/10/where-well-hunt-for-surging-dividends-in-2024/,2024-01-10 12:15:00,"Let's cut to the chase on dividend investing in 2024: our strategy this year will be all about interest rates. Sure, there are other trends out there, like AI. And yep, there's some steak behind the sizzle. But when it comes to grabbing fast-growing-and high-yielding-payouts at the right times, ...",EOG,0.12546,0.138979,Neutral
EOG Resources  ( EOG )  Stock Sinks As Market Gains: Here's Why,https://www.zacks.com/stock/news/2206624/eog-resources-eog-stock-sinks-as-market-gains-heres-why,2024-01-05 23:15:18,"The latest trading day saw EOG Resources (EOG) settling at $120.38, representing a -0.53% change from its previous close.",EOG,0.624172,0.364757,Bullish
EOG Resources  ( EOG )  Prepares for 50% Less US Oil Growth in 2024,https://www.zacks.com/stock/news/2206457/eog-resources-eog-prepares-for-50-less-us-oil-growth-in-2024,2024-01-05 17:09:00,EOG Resources (EOG) is satisfied with its existing activity levels and does not foresee the need for an increase.,EOG,0.453501,0.213663,Somewhat-Bullish
Permian Oil Rig Count Rises After Falling for 3 Straight Weeks,https://www.zacks.com/stock/news/2204849/permian-oil-rig-count-rises-after-falling-for-3-straight-weeks,2024-01-03 13:07:00,"In its weekly release, Baker Hughes (BKR) reports that its count of oil and gas rigs has increased after decreasing for two straight weeks.",EOG,0.256719,0.295107,Somewhat-Bullish
Should You Invest in the iShares U.S. Oil & Gas Exploration & Production ETF  ( IEO ) ?,https://www.zacks.com/stock/news/2204274/should-you-invest-in-the-ishares-us-oil-gas-exploration-production-etf-ieo,2024-01-02 11:20:07,Sector ETF report for ...,EOG,0.124486,0.068857,Neutral
EOG Resources  ( EOG )  Suffers a Larger Drop Than the General Market: Key Insights,https://www.zacks.com/stock/news/2203948/eog-resources-eog-suffers-a-larger-drop-than-the-general-market-key-insights,2023-12-29 23:15:19,"EOG Resources (EOG) concluded the recent trading session at $120.95, signifying a -0.31% move from its prior day's close.",EOG,0.636698,0.310015,Somewhat-Bullish
P/E Ratio Insights for EOG Resources - EOG Resources  ( NYSE:EOG ) ,https://www.benzinga.com/news/23/12/36429813/pe-ratio-insights-for-eog-resources,2023-12-29 16:15:13,"In the current session, EOG Resources Inc. EOG is trading at $121.12, after a 0.17% drop. Over the past month, the stock fell by 2.01%, and in the past year, by 2.68%. With performance like this, long-term shareholders are more likely to start looking into the company's price-to-earnings ratio.",EOG,0.421485,-0.21896,Somewhat-Bearish
Shopify and Malibu Boats have been highlighted as Zacks Bull and Bear of the Day,https://www.zacks.com/stock/news/2202468/shopify-and-malibu-boats-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,2023-12-27 12:41:00,Shopify and Malibu Boats are part of the Zacks Bull and Bear of the Day article.,EOG,0.143843,0.158611,Somewhat-Bullish
Looking Into EOG Resources's Recent Short Interest - EOG Resources  ( NYSE:EOG ) ,https://www.benzinga.com/short-sellers/23/12/36386707/looking-into-eog-resourcess-recent-short-interest,2023-12-26 16:00:29,"EOG Resources's EOG short percent of float has risen 13.93% since its last report. The company recently reported that it has 8.11 million shares sold short, which is 1.39% of all regular shares that are available for trading.",EOG,0.426824,0.33055,Somewhat-Bullish
Permian Oil Drilling Rig Count Falls for 3 Straight Weeks,https://www.zacks.com/stock/news/2202212/permian-oil-drilling-rig-count-falls-for-3-straight-weeks,2023-12-26 14:57:00,"In its weekly release, Baker Hughes (BKR) reports that its count of oil and gas rigs has decreased for two straight weeks.",EOG,0.248851,0.288209,Somewhat-Bullish
$100 Invested In EOG Resources 20 Years Ago Would Be Worth This Much Today - EOG Resources  ( NYSE:EOG ) ,https://www.benzinga.com/news/23/12/36379796/100-invested-in-eog-resources-20-years-ago-would-be-worth-this-much-today,2023-12-25 18:30:35,"EOG Resources EOG has outperformed the market over the past 20 years by 5.06% on an annualized basis producing an average annual return of 12.57%. Currently, EOG Resources has a market capitalization of $71.30 billion.",EOG,0.980595,0.386944,Bullish
3 Dividend Stocks to Gain in '24 Despite Energy Market Volatility,https://www.zacks.com/stock/news/2201495/3-dividend-stocks-to-gain-in-24-despite-energy-market-volatility,2023-12-22 14:03:00,"Three handsome dividend stocks that investors may keep an eye on for 2024 are EOG Resources (EOG), ExxonMobil (XOM) and Chevron (CVX).",EOG,0.506832,0.263955,Somewhat-Bullish
"SLB , EOG Resources And Other Energy Stocks From Wall Street's Most Accurate Analysts - LyondellBasell Industries  ( NYSE:LYB ) , EOG Resources  ( NYSE:EOG ) ",https://www.benzinga.com/news/23/12/36358640/slb-eog-resources-and-other-energy-stocks-from-wall-streets-most-accurate-analysts,2023-12-22 11:29:32,"Wall Street analysts make new stock picks on a daily basis. Unfortunately for investors, not all analysts have particularly impressive track records at predicting market movements. Even when it comes to one single stock, analyst ratings and price targets can vary widely, leaving investors ...",EOG,0.08687,0.005411,Neutral
EIA Expects Record Oil & Liquid Exports in '24: 3 Stocks to Gain,https://www.zacks.com/stock/news/2200491/eia-expects-record-oil-liquid-exports-in-24-3-stocks-to-gain,2023-12-20 14:13:00,"It is an opportune moment for investors to monitor upstream companies like EOG, MTDR and FANG that will contribute to oil production in the United States.",EOG,0.291471,0.313573,Somewhat-Bullish
Shell's  ( SHEL )  Subsidiary Announces FID for Sparta Development,https://www.zacks.com/stock/news/2200383/shells-shel-subsidiary-announces-fid-for-sparta-development,2023-12-20 11:42:00,"Shell's (SHEL) 15th deep-water development project in the Gulf of Mexico, Sparta, is scheduled to commence production in 2028.",EOG,0.235252,0.341949,Somewhat-Bullish
Here's Why EOG Resources  ( EOG )  is a Solid Investment Bet,https://www.zacks.com/stock/news/2199748/heres-why-eog-resources-eog-is-a-solid-investment-bet,2023-12-19 10:35:00,"Favorable oil price is aiding EOG Resources (EOG). Also, the company is strongly committed to returning capital to shareholders.",EOG,0.495015,0.376178,Bullish
"Halliburton  ( HAL ) , Libra Consortium Unite for Digital Twin Project",https://www.zacks.com/stock/news/2199294/halliburton-hal-libra-consortium-unite-for-digital-twin-project,2023-12-18 13:42:00,Halliburton (HAL) joins forces with Libra Consortium to create a digital twin for Brazil's Mero unitized field that is set to revolutionize field development.,EOG,0.317869,0.451168,Bullish
Permian Oil Drilling Rig Count Rises in 5 of Prior 11 Weeks,https://www.zacks.com/stock/news/2199269/permian-oil-drilling-rig-count-rises-in-5-of-prior-11-weeks,2023-12-18 13:21:00,"In its weekly release, Baker Hughes (BKR) reports that its count of oil and gas rigs has decreased after increasing for four straight weeks.",EOG,0.247334,0.286871,Somewhat-Bullish
"Chevron  ( CVX )  at Odds With California Goals, Cuts Investment",https://www.zacks.com/stock/news/2199248/chevron-cvx-at-odds-with-california-goals-cuts-investment,2023-12-18 12:59:00,"Chevron's (CVX) choice to reduce investments in California highlights the intricate relationship between environmental rules, business environments and energy funding.",EOG,0.353059,0.168657,Somewhat-Bullish
OPEC Sees Strong Demand Growth for Oil in 2024: Here's Why,https://www.zacks.com/stock/news/2198498/opec-sees-strong-demand-growth-for-oil-in-2024-heres-why,2023-12-15 13:26:00,"With OPEC maintaining its bullish oil demand forecast for 2024, this might be the right time to buy stocks like MUSA, EOG and LBRT.",EOG,0.332509,0.039042,Neutral
