title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Las Vegas Strip Leader Has a Huge Super Bowl Plan,https://www.thestreet.com/gambling/las-vegas-strip-tim-mcgraw-super-bowl-party-bet-mgm,2023-01-10 22:44:00,The huge outdoor concert venue will host a blowout festival with some big names in February.,MGM,0.271274,0.587958,Bullish
MGM Resorts Intl's Debt Overview - MGM Resorts Intl  ( NYSE:MGM ) ,https://www.benzinga.com/news/23/01/30358899/mgm-resorts-intls-debt-overview,2023-01-10 18:11:37,"Over the past three months, shares of MGM Resorts Intl Inc. MGM rose by 24.14%. Before having a look at the importance of debt, let's look at how much debt MGM Resorts Intl has.",MGM,0.474958,-0.139989,Neutral
"Tim McGraw Headlines BetMGM West Fest at Westgate Entertainment District February 11 - MGM Resorts Intl  ( NYSE:MGM ) , Entain  ( OTC:GMVHY ) ",https://www.benzinga.com/pressreleases/23/01/n30356389/tim-mcgraw-headlines-betmgm-west-fest-at-westgate-entertainment-district-february-11,2023-01-10 16:00:00,"Exclusive $57 Pre-Sale Tickets Available via BetMGM Mobile App in Arizona; Public on-Sale Begins January 12 GLENDALE, Ariz., Jan. 10, 2023 /PRNewswire/ -- BetMGM, a leading sports betting and iGaming operator, will kick off festivities for the Big Game weekend with the first BetMGM West Fest ...",MGM,0.32214,0.21562,Somewhat-Bullish
Huge Event Shows Las Vegas Strip Faces a New Reality  ( Blame Covid ) ,https://www.thestreet.com/travel/ces-shows-las-vegas-strip-faces-a-new-reality-blame-covid,2023-01-10 15:04:00,"Everyone wants a return to normal, but the covid pandemic has actually led to some permanent changes for Las Vegas casinos.",MGM,0.21258,0.132211,Neutral
Are Investors Undervaluing International Game Technology  ( IGT )  Right Now?,https://www.zacks.com/stock/news/2036772/are-investors-undervaluing-international-game-technology-igt-right-now,2023-01-09 14:40:13,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",MGM,0.532941,0.440102,Bullish
MGM Resorts Actually Gained 15.8% in the Second Half of 2022. Is the Worst Over?,https://www.fool.com/investing/2023/01/09/mgm-resorts-actually-gained-158-in-the-second-half/,2023-01-09 13:18:33,Investors are excited about the future of this casino giant.,MGM,0.629492,0.393163,Bullish
Las Vegas Strip Leader Suffers 'Terrorist' Attack,https://www.thestreet.com/travel/las-vegas-strip-leader-suffers-terrorist-attack,2023-01-07 16:50:00,"The damage will take up to two years to repair, but nobody was hurt in Las Vegas' latest high-profile incident.",MGM,0.469253,-0.187533,Somewhat-Bearish
Las Vegas Strip Player Building a 'Circus Village',https://www.thestreet.com/travel/las-vegas-strip-player-building-a-circus-village,2023-01-07 15:00:00,"While it sounds like something out of a movie, one of Sin City's leading show producers has a bold idea.",MGM,0.13347,0.287815,Somewhat-Bullish
"Stocks making the biggest moves midday: World Wrestling Entertainment, Bed Bath & Beyond, Costco and more",https://www.cnbc.com/2023/01/06/stocks-making-big-moves-midday-world-wrestling-bed-bath-costco-.html,2023-01-06 18:04:15,These are the stocks posting the largest moves in midday trading.,MGM,0.072655,0.384997,Bullish
MGM Resorts International Announces Fourth Quarter and Full Year 2022 Earnings Release Date - MGM Resorts Intl  ( NYSE:MGM ) ,https://www.benzinga.com/pressreleases/23/01/n30301627/mgm-resorts-international-announces-fourth-quarter-and-full-year-2022-earnings-release-date,2023-01-05 21:05:00,"LAS VEGAS, Jan. 5, 2023 /PRNewswire/ -- MGM Resorts International MGM ( ""MGM Resorts"" or the ""Company"" ) will release its financial results for the fourth quarter and full year 2022 after the market closes on Wednesday, February 8, 2023. MGM Resorts will host a conference call that day at 5:00 ...",MGM,0.813165,0.48727,Bullish
Huge Las Vegas Strip Properties Likely up for Sale,https://www.thestreet.com/travel/huge-las-vegas-strip-properties-likely-up-for-sale,2023-01-05 14:49:00,"Some of the biggest names on the Strip appear to be up for bids, and one billionaire casino owner looks likely to be a potential buyer.",MGM,0.147516,0.097383,Neutral
UBSFY vs. MGM: Which Stock Should Value Investors Buy Now?,https://www.zacks.com/stock/news/2035242/ubsfy-vs-mgm-which-stock-should-value-investors-buy-now,2023-01-04 16:40:14,UBSFY vs. MGM: Which Stock Is the Better Value Option?,MGM,0.753462,0.595387,Bullish
Big Las Vegas Strip Casino Deal Cancelled,https://www.thestreet.com/travel/big-las-vegas-strip-casino-deal-cancelled,2023-01-04 14:48:00,The cancellation of a big Strip deal could put another key Las Vegas Project at risk.,MGM,0.251032,0.121006,Neutral
5 Toxic Stocks That Can Set Off Alarm Bells for Your Portfolio,https://www.zacks.com/stock/news/2034972/5-toxic-stocks-that-can-set-off-alarm-bells-for-your-portfolio,2023-01-04 12:06:00,"Investors who can correctly spot overpriced stocks and shun them at the right time can avoid big losses. Dump toxic stocks like MGM, ILMN, OMCL, HL and RDNT to prevent portfolio bleeding.",MGM,0.110632,-0.171431,Somewhat-Bearish
"Stocks making the biggest moves midday: Tesla, Wynn, Traeger, Amazon and more",https://www.cnbc.com/2023/01/03/stocks-making-the-biggest-moves-midday-tesla-wynn-traeger-amazon-and-more.html,2023-01-03 17:33:30,These are the stocks posting the largest moves in midday trading.,MGM,0.078354,0.26803,Somewhat-Bullish
Why This Group Of China Gaming Stocks Is Jumping,https://www.investors.com/news/gaming-stocks-casino-stocks-china-reopening-covid-peak/,2023-01-03 17:11:00,Gaming Stocks Rally On Tailwinds In World's Largest Gambling Hub ... Investor's Business Daily ...,MGM,0.326283,0.372141,Bullish
"Stocks making the biggest moves premarket: Tesla, Coty, PayPal and more",https://www.cnbc.com/2023/01/03/stocks-making-the-biggest-moves-premarket-tesla-coty-paypal-and-more.html,2023-01-03 12:41:25,These are the stocks posting the largest moves premarket.,MGM,0.137671,0.163937,Somewhat-Bullish
"Sports Betting Market Is Prospering at USD 297,638.20 Million with Expected CAGR of 9.2% by 2030, Size, Share, Trends, Industry Growth and Competitive Analysis",https://www.benzinga.com/pressreleases/23/01/n30252660/sports-betting-market-is-prospering-at-usd-297-638-20-million-with-expected-cagr-of-9-2-by-2030-si,2023-01-03 08:45:00,"SAN FRANCISCO, Jan. 3, 2023 /PRNewswire/ -- Data Bridge Market Research has recently published a Report, titled, ""Sports Betting Market"" The report offers an extensive analysis of key growth strategies, drivers, opportunities, key segment, Porter's Five Forces analysis, and competitive landscape.",MGM,0.029149,0.188372,Somewhat-Bullish
"Sports Betting Market Is Prospering at USD 297,638.20 Million with Expected CAGR of 9.2% by 2030, Size, Share, Trends, Industry Growth and Competitive Analysis",https://www.prnewswire.com/news-releases/sports-betting-market-is-prospering-at-usd-297-638-20-million-with-expected-cagr-of-9-2-by-2030--size-share-trends-industry-growth-and-competitive-analysis-301712173.html,2023-01-03 08:45:00,"Sports Betting Market Is Prospering at USD 297,638.20 Million with ... PR ...",MGM,0.015452,0.101407,Neutral
