title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
AiDash raises $50 million to safeguard infrastructure from climate change-related threats,https://www.financialexpress.com/business/digital-transformation-aidash-raises-50-million-to-safeguard-infrastructure-from-climate-change-related-threats-3374284/,2024-01-24 14:06:16,"According to an official release, AiDash, an enterprise SaaS company, announced that it received $50 million in funding, bringing the total raised to date to $83 million. The Series C round is expected to be oversubscribed, indicative of growing investor interest in proven, scalable, and ...",EIX,0.159569,0.068369,Neutral
"Startup AiDash raises $50 mn in funding for tech that uses AI, satellites",https://www.business-standard.com/companies/start-ups/startup-aidash-raises-50-mn-in-funding-for-tech-that-uses-ai-satellites-124012400506_1.html,2024-01-24 10:16:55,"AiDash, a startup which uses artificial intelligence ( AI ) and satellites to spot weather risks on power lines, said on Wednesday it has raised $50 million in Series C funding led by Lightrock.",EIX,0.072435,0.031163,Neutral
Why Edison International  ( EIX )  is a Top Growth Stock for the Long-Term,https://www.zacks.com/stock/news/2214210/why-edison-international-eix-is-a-top-growth-stock-for-the-long-term,2024-01-23 14:45:07,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",EIX,0.791081,0.494713,Bullish
Peering Into Edison Intl's Recent Short Interest - Edison Intl  ( NYSE:EIX ) ,https://www.benzinga.com/short-sellers/24/01/36511005/peering-into-edison-intls-recent-short-interest,2024-01-05 15:15:28,"Edison Intl's EIX short percent of float has fallen 39.33% since its last report. The company recently reported that it has 4.31 million shares sold short, which is 1.62% of all regular shares that are available for trading.",EIX,0.426824,0.244394,Somewhat-Bullish
Edison International  ( EIX )  Announces Dividend Hike of 5.8%,https://www.zacks.com/stock/news/2200375/edison-international-eix-announces-dividend-hike-of-58,2023-12-20 11:39:00,Edison (EIX) continues to reward shareholders through dividend hikes. It has been increasing dividends for 20 consecutive years.,EIX,0.495015,0.530811,Bullish
How Is The Market Feeling About Edison Intl? - Edison Intl  ( NYSE:EIX ) ,https://www.benzinga.com/short-sellers/23/12/36304534/how-is-the-market-feeling-about-edison-intl,2023-12-19 14:15:17,"Edison Intl's EIX short percent of float has risen 27.14% since its last report. The company recently reported that it has 7.08 million shares sold short, which is 2.67% of all regular shares that are available for trading.",EIX,0.426824,0.338191,Somewhat-Bullish
AES' Board Rewards Shareholders With 4% Dividend Hike,https://www.zacks.com/stock/news/2196640/aes-board-rewards-shareholders-with-4-dividend-hike,2023-12-12 13:38:00,AES continues to reward shareholders through dividend hikes. It has been paying dividends for 11 consecutive years.,EIX,0.5633,0.43395,Bullish
3 Utility Mutual Funds to Counter Continued Market Volatility,https://www.zacks.com/stock/news/2190617/3-utility-mutual-funds-to-counter-continued-market-volatility,2023-11-29 10:38:00,"Invest in utility mutual funds like FIUIX, FRUAX and PRUAX for steady returns and reduction of risk in a volatile market.",EIX,0.043264,0.085079,Neutral
BP Seeking Partners For Offshore Wind Projects In Japan: Report - BP  ( NYSE:BP ) ,https://www.benzinga.com/markets/equities/23/11/35868409/bp-seeking-partners-for-offshore-wind-projects-in-japan-report,2023-11-20 11:00:57,"BP PLC BP is reportedly seeking partners for offshore wind projects in Japan and may invest in hydrogen technology companies. The company aims to address inflation and equipment bottlenecks that have affected the renewables sector, as per Reuters.",EIX,0.246582,-0.062482,Neutral
"BP, Shell, Edison Request US, EU To Help In Dispute With Venture Global LNG Over Undelivered Cargoes: Report - Edison Intl  ( NYSE:EIX ) , Shell  ( NYSE:SHEL ) , BP  ( NYSE:BP ) ",https://www.benzinga.com/markets/equities/23/11/35742808/bp-shell-edison-request-us-eu-to-help-in-dispute-with-venture-global-lng-over-undelivered-cargoe,2023-11-13 10:52:50,"Oil companies BP PLC BP, Shell PLC SHEL, and Edison International EIX reportedly asked a U.S.-EU energy group to intervene in their ongoing dispute with liquefied natural gas ( LNG ) exporter Venture Global LNG over its failure to supply contracted cargoes.",EIX,0.195814,-0.05048,Neutral
"Fossil fuel interests have large, yet often murky, presence at climate talks, AP analysis finds",https://apnews.com/article/fossil-fuels-influenceconference-of-partieslobbyingclimate-summitclimate-negotiations-d5e677b1c4e515f8944393907ac99457,2023-11-08 14:31:00,"The badges said they were there to participate in negotiations to curb . They stated affiliations like the government of Brazil, Indigenous organizations of the Amazon, the Climate Registry. But in reality, the livelihoods of these participants were more aligned with what's keeping the problem ...",EIX,0.022305,0.037645,Neutral
"Edison International  ( EIX )  Q3 Earnings Miss, Revenues Fall Y/Y",https://www.zacks.com/stock/news/2177416/edison-international-eix-q3-earnings-miss-revenues-fall-yy,2023-11-02 13:49:00,"Edison International's (EIX) third-quarter revenues of $4,702 million miss the Zacks Consensus Estimate by 12.8%. The top line also declines 10.1% from the year-ago quarter's level.",EIX,0.518022,0.036117,Neutral
"Utilities Due to Report Q3 Earnings on Nov 1: NI, ETR & More",https://www.zacks.com/stock/news/2175616/utilities-due-to-report-q3-earnings-on-nov-1-ni-etr-more,2023-10-31 14:37:00,"Let's focus on utilities like NI, ETR, AWK, DTE and EIX, scheduled to release their third-quarter earnings on Nov 1.",EIX,0.281307,0.102324,Neutral
Edison International  ( EIX )  to Post Q3 Earnings: What's in Store?,https://www.zacks.com/stock/news/2173566/edison-international-eix-to-post-q3-earnings-whats-in-store,2023-10-27 11:35:00,Edison International's (EIX) Q3 results are likely to reflect mixed weather pattern impact along with higher interest rate expenses.,EIX,0.574235,0.429641,Bullish
"PG&E Corp.  ( PCG )  Misses Q3 Earnings, Reaffirms 2023 View",https://www.zacks.com/stock/news/2172902/pge-corp-pcg-misses-q3-earnings-reaffirms-2023-view,2023-10-26 14:21:00,PG&E Corp.'s (PCG) third-quarter adjusted EPS lags the Zacks Consensus Estimate by 14.3%.,EIX,0.157483,0.246088,Somewhat-Bullish
Earnings Preview: OGE Energy  ( OGE )  Q3 Earnings Expected to Decline,https://www.zacks.com/stock/news/2172807/earnings-preview-oge-energy-oge-q3-earnings-expected-to-decline,2023-10-26 14:02:22,OGE Energy (OGE) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,EIX,0.172404,-0.00141,Neutral
Edison International  ( EIX )  Q3 Earnings Preview: What's in the Cards?,https://www.zacks.com/stock/news/2171687/edison-international-eix-q3-earnings-preview-whats-in-the-cards,2023-10-25 14:01:53,Edison International (EIX) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,EIX,0.256089,0.029282,Neutral
"Walgreens To Rally Around 42%? Here Are 10 Top Analyst Forecasts For Monday - Alcoa  ( NYSE:AA ) , Salesforce  ( NYSE:CRM ) ",https://www.benzinga.com/news/23/10/35370327/walgreens-to-rally-around-42-here-are-10-top-analyst-forecasts-for-monday,2023-10-23 11:47:25,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page B of A Securities cut Alcoa Corporation AA price target from $35 to $25.",EIX,0.249531,0.268458,Somewhat-Bullish
Peering Into Edison Intl's Recent Short Interest - Edison Intl  ( NYSE:EIX ) ,https://www.benzinga.com/short-sellers/23/10/35274952/peering-into-edison-intls-recent-short-interest,2023-10-16 19:30:16,"Edison Intl's EIX short percent of float has fallen 8.99% since its last report. The company recently reported that it has 6.71 million shares sold short, which is 2.53% of all regular shares that are available for trading.",EIX,0.426824,0.25252,Somewhat-Bullish
3 Top Vanguard Mutual Funds to Buy Amid Market Uncertainty,https://www.zacks.com/stock/news/2161370/3-top-vanguard-mutual-funds-to-buy-amid-market-uncertainty,2023-10-06 11:35:00,"Invest in Vanguard mutual funds like VASVX, VWNDX and VSTCX to hedge your portfolio amid rising market volatility.",EIX,0.057767,0.052961,Neutral
EONGY vs. EIX: Which Stock Should Value Investors Buy Now?,https://www.zacks.com/stock/news/2160170/eongy-vs-eix-which-stock-should-value-investors-buy-now,2023-10-04 15:40:11,EONGY vs. EIX: Which Stock Is the Better Value Option?,EIX,0.678673,0.583366,Bullish
4 Mutual Funds to Buy Amid Ongoing Market Volatility,https://www.zacks.com/stock/news/2156862/4-mutual-funds-to-buy-amid-ongoing-market-volatility,2023-09-28 09:55:00,"During times of market volatility, selecting stable mutual funds like FSUTX, FRUAX, JNGLX and PRHSX is a prudent decision. These funds offer a combination of stability and growth potential.",EIX,0.052112,0.049686,Neutral
America Going Electric: Dollars And Sense,https://www.forbes.com/sites/greatspeculations/2023/09/26/america-going-electric-dollars-and-sense/,2023-09-26 16:02:07,"We put together a list of beneficiaries of the $370 billion investment needed for California's power grid to meet the state's ""net zero"" goal for CO2 emissions by 2045.",EIX,0.221819,0.135567,Neutral
"Climate Experts Weigh In on Obstacles, Priorities and Hope",https://www.nytimes.com/2023/09/20/climate/experts-qna-obstacles-priorities-hope.html,2023-09-20 18:03:44,This article is part of our special section on the Climate Forward event that will include policy and climate leaders from around the world.,EIX,0.015284,0.0,Neutral
 ( EIX )  - Analyzing Edison Intl's Short Interest - Edison Intl  ( NYSE:EIX ) ,https://www.benzinga.com/short-sellers/23/09/34762506/eix-analyzing-edison-intls-short-interest,2023-09-20 13:30:25,"Edison Intl's EIX short percent of float has risen 4.12% since its last report. The company recently reported that it has 7.37 million shares sold short, which is 2.78% of all regular shares that are available for trading. Based on its trading volume, it would take traders 5.52 days to cover ...",EIX,0.426824,0.338191,Somewhat-Bullish
3 Utility Mutual Funds to Counter Volatility in the Market,https://www.zacks.com/stock/news/2152287/3-utility-mutual-funds-to-counter-volatility-in-the-market,2023-09-19 09:58:00,"Invest in utility mutual funds like FIUIX, FRUAX and FKUTX for steady returns and reduction of risk in a volatile market.",EIX,0.09239,0.090621,Neutral
Is Invesco S&P 500 Equal Weight Utilities ETF  ( RSPU )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2148720/is-invesco-sp-500-equal-weight-utilities-etf-rspu-a-strong-etf-right-now,2023-09-14 10:20:05,Smart Beta ETF report for ...,EIX,0.121037,0.061185,Neutral
3 Large-Cap Value Mutual Funds to Counter New Inflation Worries,https://www.zacks.com/stock/news/2146516/3-large-cap-value-mutual-funds-to-counter-new-inflation-worries,2023-09-08 12:24:00,"Invest in large-cap value funds like DRGVX, ACSDX and VWNDX to preserve your capital and earn returns amid fresh inflation worries.",EIX,0.052112,0.04869,Neutral
Edison International  ( EIX )  to Gain From Long-term Investments,https://www.zacks.com/stock/news/2145859/edison-international-eix-to-gain-from-long-term-investments,2023-09-07 11:40:00,Edison International's (EIX) strategic investment plans to further improve infrastructure and favorable regulatory outcomes are likely to drive its performance.,EIX,0.367412,0.197114,Somewhat-Bullish
Looking Into Edison Intl's Recent Short Interest - Edison Intl  ( NYSE:EIX ) ,https://www.benzinga.com/short-sellers/23/09/34211800/looking-into-edison-intls-recent-short-interest,2023-09-04 15:45:20,"Edison Intl's EIX short percent of float has risen 7.23% since its last report. The company recently reported that it has 7.08 million shares sold short, which is 2.67% of all regular shares that are available for trading. Based on its trading volume, it would take traders 5.52 days to cover ...",EIX,0.426824,0.338191,Somewhat-Bullish
