title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
US Ad spending still expected to grow in 2023 despite 'stressful economic signals',https://www.foxbusiness.com/economy/us-ad-spending-expected-grow-2023-despite-stressful-economic-signals,2023-03-27 20:50:10,"A major ad forecaster said advertising is still expected to grow in 2023 despite mixed economic signals, a resiliency that industry pros say would have been unlikely during earlier periods of turbulence.",IPG,0.085936,0.120323,Neutral
U.S. Ad Spending Still Expected to Grow in 2023 Despite 'Stressful Economic Signals',https://www.wsj.com/articles/u-s-ad-spending-still-expected-to-grow-in-2023-despite-stressful-economic-signals-3603f9de,2023-03-27 13:00:00,"Media owners' U.S. ad revenues are expected to grow 3.4% to $326 billion next year, according to a new forecast from Magna.",IPG,0.371523,0.285538,Somewhat-Bullish
